NAMESPACE       NAME                READY   STATUS    RESTARTS   AGE     IP               NODE             NOMINATED NODE   READINESS GATES
calico-system   calico-node-4fxr5   1/1     Running   0          3h19m   172.26.129.31    emu-worker-13    <none>           <none>
calico-system   calico-node-4psql   1/1     Running   0          3h19m   172.26.134.93    emu-worker-12    <none>           <none>
calico-system   calico-node-4rkfc   1/1     Running   0          45m     172.26.132.12    emu-worker-38    <none>           <none>
calico-system   calico-node-4slrw   1/1     Running   0          3h19m   172.26.128.138   emu-worker-15    <none>           <none>
calico-system   calico-node-4tlrn   1/1     Running   0          2d8h    172.26.135.182   emu-worker-8     <none>           <none>
calico-system   calico-node-5c9zn   1/1     Running   0          3h19m   172.26.133.70    emu-worker-11    <none>           <none>
calico-system   calico-node-5g5lp   1/1     Running   0          46m     172.26.133.193   emu-worker-28    <none>           <none>
calico-system   calico-node-5nw2c   1/1     Running   0          3h18m   172.26.129.184   emu-worker-20    <none>           <none>
calico-system   calico-node-64gm9   1/1     Running   0          46m     172.26.129.122   emu-worker-34    <none>           <none>
calico-system   calico-node-8sp65   1/1     Running   0          2d8h    172.26.133.114   emu-worker-6     <none>           <none>
calico-system   calico-node-9r7tf   1/1     Running   0          2d8h    172.26.132.239   emu-worker-1     <none>           <none>
calico-system   calico-node-9tt8d   1/1     Running   0          46m     172.26.134.232   emu-worker-30    <none>           <none>
calico-system   calico-node-9zxjp   1/1     Running   0          3h18m   172.26.133.212   emu-worker-18    <none>           <none>
calico-system   calico-node-ccffl   1/1     Running   0          46m     172.26.136.4     emu-worker-21    <none>           <none>
calico-system   calico-node-ccvp8   1/1     Running   0          3h19m   172.26.134.196   emu-worker-10    <none>           <none>
calico-system   calico-node-dcd6f   1/1     Running   0          3h19m   172.26.131.166   emu-worker-16    <none>           <none>
calico-system   calico-node-dp8wk   1/1     Running   0          46m     172.26.129.233   emu-worker-31    <none>           <none>
calico-system   calico-node-dr7zd   1/1     Running   0          2d8h    172.26.128.41    emu-worker-3     <none>           <none>
calico-system   calico-node-dstv6   1/1     Running   0          2d8h    172.26.131.70    emu-worker-2     <none>           <none>
calico-system   calico-node-fdwhm   1/1     Running   0          45m     172.26.129.170   emu-worker-39    <none>           <none>
calico-system   calico-node-fzxzd   1/1     Running   0          46m     172.26.132.224   emu-worker-27    <none>           <none>
calico-system   calico-node-g2t42   1/1     Running   0          2d8h    172.26.130.216   k8s-emu-master   <none>           <none>
calico-system   calico-node-g2x2s   1/1     Running   0          46m     172.26.129.158   emu-worker-26    <none>           <none>
calico-system   calico-node-h2vhn   1/1     Running   0          46m     172.26.130.136   emu-worker-33    <none>           <none>
calico-system   calico-node-hmvzk   1/1     Running   0          45m     172.26.135.168   emu-worker-41    <none>           <none>
calico-system   calico-node-j5wb4   1/1     Running   0          2d8h    172.26.135.227   emu-worker-7     <none>           <none>
calico-system   calico-node-jk27h   1/1     Running   0          46m     172.26.132.117   emu-worker-25    <none>           <none>
calico-system   calico-node-jsp47   1/1     Running   0          45m     172.26.131.113   emu-worker-40    <none>           <none>
calico-system   calico-node-jxzrk   1/1     Running   0          46m     172.26.136.1     emu-worker-29    <none>           <none>
calico-system   calico-node-jzgbr   1/1     Running   0          3h19m   172.26.136.35    emu-worker-14    <none>           <none>
calico-system   calico-node-krjll   1/1     Running   0          46m     172.26.132.26    emu-worker-35    <none>           <none>
calico-system   calico-node-l7hgc   1/1     Running   0          2d8h    172.26.133.87    emu-worker-9     <none>           <none>
calico-system   calico-node-lm9td   1/1     Running   0          46m     172.26.135.30    emu-worker-23    <none>           <none>
calico-system   calico-node-mr5q8   1/1     Running   0          3h18m   172.26.131.55    emu-worker-19    <none>           <none>
calico-system   calico-node-nd9lf   1/1     Running   0          2d8h    172.26.133.155   emu-worker-4     <none>           <none>
calico-system   calico-node-nfkfz   1/1     Running   0          46m     172.26.129.126   emu-worker-36    <none>           <none>
calico-system   calico-node-nrzwk   1/1     Running   0          3h19m   172.26.133.183   emu-worker-17    <none>           <none>
calico-system   calico-node-pc7hd   1/1     Running   0          45m     172.26.133.81    emu-worker-45    <none>           <none>
calico-system   calico-node-q5c99   1/1     Running   0          2d8h    172.26.131.102   emu-worker-5     <none>           <none>
calico-system   calico-node-qkjkz   1/1     Running   0          45m     172.26.133.7     emu-worker-42    <none>           <none>
calico-system   calico-node-rtrr6   1/1     Running   0          45m     172.26.131.147   emu-worker-43    <none>           <none>
calico-system   calico-node-s4sm9   1/1     Running   0          45m     172.26.132.81    emu-worker-44    <none>           <none>
calico-system   calico-node-sb8pz   1/1     Running   0          46m     172.26.131.39    emu-worker-22    <none>           <none>
calico-system   calico-node-x5xt6   1/1     Running   0          46m     172.26.131.252   emu-worker-24    <none>           <none>
calico-system   calico-node-xz6ll   1/1     Running   0          46m     172.26.135.221   emu-worker-32    <none>           <none>
calico-system   calico-node-z6zjt   1/1     Running   0          45m     172.26.129.74    emu-worker-37    <none>           <none>
